"Bandwidth","Outcome","Label","N","FemaleRes_Coef","FemaleRes_SE","Running_Coef","Running_SE","Constant","Adj_R2"
0.1,"nrega_total_2016","Total 2016",6824,-0.00185722489084152,0.0112585625795906,-0.207292577185607,0.134482694293874,0.291591357061987,0.000447526430391587
0.1,"nrega_total_2017","Total 2017",6841,-0.018800746491518,0.0130372634357189,-0.0808023997289655,0.155714263186619,0.320017525246914,0.000610907899956437
0.1,"nrega_total_2016_17","Total 16-17",6821,-0.0206184212723297,0.0225213321469099,-0.28867998425356,0.269004666129243,0.612428519743479,0.000601702710277263
0.1,"nrega_sanit_2016","Sanit. 2016",1030,0.0012877668859252,0.00293182027871031,-0.00329502061326133,0.0361399285966449,0.0106502254865013,-0.00168709395136113
0.1,"nrega_sanit_2017","Sanit. 2017",1440,-0.000806030301501647,0.00278251081268044,0.0429117945126806,0.0332156651786302,0.00906830071091367,0.000227860271918123
0.1,"nrega_sanit_2016_17","Sanit. 16-17",704,0.00208376331159318,0.00677919238765898,-0.00313360576252167,0.0832747919981961,0.0230113387372059,-0.00264451940790011
0.1,"nrega_water_2016","Water 2016",44,0.000974946575920987,0.00526208794970228,0.0123780006566289,0.0628087228390032,0.00869232013573773,-0.043303472137403
0.1,"nrega_water_2017","Water 2017",64,-0.00830643373969082,0.00950424688403811,-0.0147833690042492,0.124733677394272,0.0110942996644358,-0.00635859090139546
0.1,"nrega_water_2016_17","Water 16-17",29,0.00257281622518781,0.00616449060056776,0.01722755778648,0.0758790664657692,0.0073594712495161,-0.0563932186571505
0.075,"nrega_total_2016","Total 2016",5172,-0.0067594368200546,0.0126959536171834,-0.143986795532647,0.199561696142963,0.294721914786694,4.95473653114864e-05
0.075,"nrega_total_2017","Total 2017",5187,-0.0247701221811979,0.0145302534731892,0.0670557261716909,0.228321882697484,0.324143368005344,0.000395816320065023
0.075,"nrega_total_2016_17","Total 16-17",5171,-0.0316466177074909,0.0252246032008434,-0.0774081040088982,0.396453306454734,0.619769342097833,0.000259582195310193
0.075,"nrega_sanit_2016","Sanit. 2016",792,0.00059244981704865,0.00322151606357159,-0.000647198799060023,0.0525370037794382,0.0107018318422285,-0.0024670719798694
0.075,"nrega_sanit_2017","Sanit. 2017",1097,-0.00167691761820042,0.00324905355885434,0.0755295459226256,0.0508961116661094,0.00982793312703556,0.000533348471725037
0.075,"nrega_sanit_2016_17","Sanit. 16-17",551,0.00141110872188069,0.00761943660354871,0.00124017868091493,0.121837212239639,0.0236015631695948,-0.00353324088647788
0.075,"nrega_water_2016","Water 2016",29,0.00027796832013197,0.00729586904926942,0.0503709794578562,0.122603993948604,0.0102156371940894,-0.0614662425044656
0.075,"nrega_water_2017","Water 2017",44,-0.0088881057513521,0.0121606547617273,-0.00237824202633513,0.229687188552258,0.0115278041687998,-0.0232908070272146
0.075,"nrega_water_2016_17","Water 16-17",19,5.35157982892471e-06,0.0087139331908165,0.0984053446135443,0.158215190172701,0.00891042101582182,-0.079206504550678
0.05,"nrega_total_2016","Total 2016",3491,-0.0107568553358223,0.0150252892442329,0.0231616538746709,0.347097417205297,0.297638006882854,-0.000366930750880012
0.05,"nrega_total_2017","Total 2017",3500,-0.0284334547219337,0.0170528914397244,0.259798688908697,0.39375659895133,0.327388264933327,0.00027531718793361
0.05,"nrega_total_2016_17","Total 16-17",3490,-0.039190124780324,0.0296665431247985,0.275912073548866,0.685230598885101,0.625879038197954,-4.11838673963771e-06
0.05,"nrega_sanit_2016","Sanit. 2016",554,0.00100560772740504,0.00343546292573433,-0.0338845568174309,0.0829272636149172,0.0102913540238573,-0.00331978060042104
0.05,"nrega_sanit_2017","Sanit. 2017",749,-0.00338264649692315,0.00379683470679195,0.128802541339368,0.0872209851406559,0.0105237324411624,0.000242872846588749
0.05,"nrega_sanit_2016_17","Sanit. 16-17",385,0.000602667862629973,0.00829722841807304,0.0133453478800432,0.193720809963964,0.0236500894457019,-0.00516903723782924
0.05,"nrega_water_2016","Water 2016",20,-0.00165102106964059,0.00952910650079205,0.101285796509641,0.241112467821358,0.0117628890109424,-0.103666668702628
0.05,"nrega_water_2017","Water 2017",33,-0.0149553364975979,0.0148062389212389,0.221329891818895,0.386298452259774,0.0145035387422465,-0.0304228077418156
0.05,"nrega_water_2016_17","Water 16-17",13,-0.00648752630856564,0.0115028841611591,0.266800138654891,0.305115746133367,0.0111505827366021,-0.113586180614529
